[2022-12-08 17:32:45] [INFO   ] cannot read configuration file config.properties trying from resources.
[2022-12-08 17:32:45] [INFO   ] configuration file was loaded from resources directory.
[2022-12-08 17:33:03] [SEVERE ] Key 44 was pressed by player 1
[2022-12-08 17:33:03] [SEVERE ] removing player 0 token from slot 6
[2022-12-08 17:33:03] [SEVERE ] removing player 0 token from slot 0
[2022-12-08 17:33:03] [SEVERE ] removing player 0 token from slot 4
[2022-12-08 17:33:03] [SEVERE ] removing player 1 token from slot 8
[2022-12-08 17:33:03] [SEVERE ] removing player 1 token from slot 7
[2022-12-08 17:33:03] [SEVERE ] removing player 1 token from slot 6
[2022-12-08 17:33:03] [SEVERE ] Key 68 was pressed by player 0
[2022-12-08 17:33:03] [SEVERE ] player 0 placing token on slot 6
[2022-12-08 17:33:03] [SEVERE ] Key 77 was pressed by player 1
[2022-12-08 17:33:03] [SEVERE ] player 1 placing token on slot 8
[2022-12-08 17:33:03] [SEVERE ] Key 65 was pressed by player 0
[2022-12-08 17:33:03] [SEVERE ] player 0 placing token on slot 4
[2022-12-08 17:33:03] [SEVERE ] Key 83 was pressed by player 0
[2022-12-08 17:33:03] [SEVERE ] player 0 placing token on slot 5
[2022-12-08 17:33:03] [SEVERE ] Key 59 was pressed by player 1
[2022-12-08 17:33:03] [SEVERE ] player 1 placing token on slot 7
[2022-12-08 17:33:04] [SEVERE ] Key 68 was pressed by player 0
[2022-12-08 17:33:04] [SEVERE ] Key 76 was pressed by player 1
[2022-12-08 17:33:04] [SEVERE ] player 1 placing token on slot 6
[2022-12-08 17:33:04] [SEVERE ] Key 75 was pressed by player 1
[2022-12-08 17:33:04] [SEVERE ] Key 65 was pressed by player 0
[2022-12-08 17:33:04] [SEVERE ] Key 59 was pressed by player 1
[2022-12-08 17:33:04] [SEVERE ] Key 83 was pressed by player 0
[2022-12-08 17:33:04] [SEVERE ] removing player 0 token from slot 6
[2022-12-08 17:33:04] [SEVERE ] removing player 0 token from slot 4
[2022-12-08 17:33:04] [SEVERE ] removing player 0 token from slot 5
[2022-12-08 17:33:04] [SEVERE ] removing player 1 token from slot 8
[2022-12-08 17:33:04] [SEVERE ] removing player 1 token from slot 7
[2022-12-08 17:33:04] [SEVERE ] removing player 1 token from slot 6
[2022-12-08 17:33:04] [SEVERE ] Key 44 was pressed by player 1
[2022-12-08 17:33:04] [SEVERE ] player 1 placing token on slot 9
[2022-12-08 17:33:04] [SEVERE ] Key 77 was pressed by player 1
[2022-12-08 17:33:04] [SEVERE ] player 1 placing token on slot 8
[2022-12-08 17:33:04] [SEVERE ] Key 68 was pressed by player 0
[2022-12-08 17:33:04] [SEVERE ] player 0 placing token on slot 6
[2022-12-08 17:33:04] [SEVERE ] Key 81 was pressed by player 0
[2022-12-08 17:33:04] [SEVERE ] player 0 placing token on slot 0
[2022-12-08 17:33:04] [SEVERE ] Key 46 was pressed by player 1
[2022-12-08 17:33:04] [SEVERE ] player 1 placing token on slot 10
[2022-12-08 17:33:04] [SEVERE ] Key 87 was pressed by player 0
[2022-12-08 17:33:04] [SEVERE ] player 0 placing token on slot 1
[2022-12-08 17:33:05] [SEVERE ] Key 44 was pressed by player 1
[2022-12-08 17:33:05] [SEVERE ] Key 68 was pressed by player 0
